1732981055,Q,1,head
1732981055,R,1,head
1732981055,EB,1,node0
1732981056,EB,1,node1
1732981060,Q,2,head
1732981060,R,2,head
1732981060,EB,2,node2
1732981061,EB,2,node9
1732981061,EB,2,node3
1732981061,EB,2,node7
1732981061,EB,2,node8
1732981061,EB,2,node6
1732981061,EB,2,node4
1732981061,EB,2,node5
1732981065,Q,3,head
1732981065,R,3,head
1732981065,EB,3,node10
1732981066,EB,3,node11
1732981070,Q,4,head
1732981070,R,4,head
1732981070,EB,4,node12
1732981075,Q,5,head
1732981075,R,5,head
1732981075,EB,5,node13
1732981080,Q,6,head
1732981080,R,6,head
1732981080,EB,6,node14
1732981081,EB,6,node15
1732981085,Q,7,head
1732981085,R,7,head
1732981085,EB,7,node16
1732981086,EB,7,node21
1732981086,EB,7,node22
1732981086,EB,7,node19
1732981086,EB,7,node18
1732981086,EB,7,node23
1732981086,EB,7,node17
1732981090,Q,8,head
1732981090,R,8,head
1732981090,EB,8,node24
1732981091,EB,8,node25
1732981095,Q,9,head
1732981095,R,9,head
1732981095,EB,9,node26
1732981096,EB,9,node27
1732981096,EB,9,node29
1732981100,Q,10,head
1732981105,Q,11,head
1732981110,Q,12,head
1732981110,R,12,head
1732981110,EB,12,node30
1732981111,EB,12,node31
1732981115,Q,13,head
1732981120,Q,14,head
1732981125,Q,15,head
1732981130,Q,16,head
1732981135,Q,17,head
1732981140,Q,18,head
1732981145,Q,19,head
1732981150,Q,20,head
1732981155,Q,21,head
1732981156,EE,9,node26
1732981156,EE,9,node29
1732981156,EE,9,node28
1732981158,O,9,head
1732981158,R,10,head
1732981158,EB,10,node26
1732981158,EB,10,node28
1732981158,EB,10,node27
1732981158,EB,10,node29
1732981160,Q,22,head
1732981165,Q,23,head
1732981170,Q,24,head
1732981175,Q,25,head
1732981180,Q,26,head
1732981185,Q,27,head
1732981190,Q,28,head
1732981195,Q,29,head
1732981200,Q,30,head
1732981205,Q,31,head
1732981210,Q,32,head
1732981215,Q,33,head
1732981216,EE,3,node10
1732981216,EE,3,node11
1732981217,O,3,head
1732981217,R,13,head
1732981218,EB,13,node10
1732981218,EB,13,node11
1732981220,Q,34,head
1732981220,EE,1,node0
1732981220,EE,1,node1
1732981221,O,1,head
1732981221,R,21,head
1732981222,EB,21,node0
1732981222,EB,21,node1
1732981225,Q,35,head
1732981230,Q,36,head
1732981235,Q,37,head
1732981237,EE,6,node14
1732981237,EE,6,node15
1732981238,O,6,head
1732981238,R,14,head
1732981239,EB,14,node14
1732981239,EB,14,node15
1732981240,Q,38,head
1732981245,Q,39,head
1732981250,Q,40,head
1732981255,Q,41,head
1732981260,Q,42,head
1732981265,Q,43,head
1732981270,Q,44,head
1732981275,Q,45,head
1732981280,Q,46,head
1732981285,Q,47,head
1732981290,Q,48,head
1732981295,Q,49,head
1732981300,Q,50,head
1732981305,Q,51,head
1732981310,Q,52,head
1732981315,Q,53,head
1732981320,Q,54,head
1732981325,Q,55,head
1732981330,Q,56,head
1732981335,Q,57,head
1732981340,Q,58,head
1732981345,Q,59,head
1732981350,Q,60,head
1732981355,Q,61,head
1732981360,Q,62,head
1732981365,Q,63,head
1732981370,Q,64,head
1732981375,Q,65,head
1732981380,Q,66,head
1732981385,Q,67,head
1732981390,Q,68,head
1732981395,Q,69,head
1732981400,Q,70,head
1732981403,EE,21,node0
1732981403,EE,21,node1
1732981404,O,21,head
1732981404,R,49,head
1732981405,EB,49,node0
1732981405,EB,49,node1
1732981405,Q,71,head
1732981410,Q,72,head
1732981415,Q,73,head
1732981420,Q,74,head
1732981425,Q,75,head
1732981430,Q,76,head
1732981435,Q,77,head
1732981436,EE,2,node2
1732981436,EE,2,node7
1732981436,EE,2,node8
1732981436,EE,2,node9
1732981436,EE,2,node3
1732981436,EE,2,node6
1732981436,EE,2,node4
1732981436,EE,2,node5
1732981437,O,2,head
1732981437,R,11,head
1732981438,EB,11,node2
1732981438,EB,11,node9
1732981438,EB,11,node4
1732981438,EB,11,node8
1732981438,EB,11,node7
1732981438,EB,11,node5
1732981438,EB,11,node3
1732981441,Q,78,head
1732981446,Q,79,head
1732981451,Q,80,head
1732981455,EE,49,node0
1732981455,EE,49,node1
1732981456,Q,81,head
1732981456,O,49,head
1732981456,R,15,head
1732981457,EB,15,node0
1732981457,EB,15,node1
1732981461,Q,82,head
1732981466,Q,83,head
1732981471,Q,84,head
1732981476,Q,85,head
1732981481,Q,86,head
1732981484,EE,12,node30
1732981484,EE,12,node31
1732981485,O,12,head
1732981486,Q,87,head
1732981489,EE,13,node10
1732981489,EE,13,node11
1732981490,O,13,head
1732981490,R,16,head
1732981491,EB,16,node10
1732981491,Q,88,head
1732981491,EB,16,node11
1732981491,EB,16,node31
1732981496,Q,89,head
1732981501,Q,90,head
1732981506,Q,91,head
1732981511,Q,92,head
1732981516,Q,93,head
1732981521,Q,94,head
1732981526,Q,95,head
1732981531,Q,96,head
1732981536,Q,97,head
1732981540,EE,16,node10
1732981540,EE,16,node11
1732981540,EE,16,node30
1732981541,Q,98,head
1732981541,O,16,head
1732981541,R,22,head
1732981541,R,23,head
1732981542,R,53,head
1732981542,EB,22,node30
1732981542,EB,23,node10
1732981542,EB,53,node11
1732981542,EB,22,node31
1732981546,Q,99,head
1732981551,Q,100,head
1732981556,Q,101,head
1732981561,Q,102,head
1732981566,Q,103,head
1732981571,Q,104,head
1732981576,Q,105,head
1732981581,Q,106,head
1732981586,Q,107,head
1732981591,Q,108,head
1732981596,Q,109,head
1732981601,Q,110,head
1732981606,Q,111,head
1732981611,Q,112,head
1732981616,Q,113,head
1732981621,Q,114,head
1732981621,EE,8,node24
1732981621,EE,8,node25
1732981622,O,8,head
1732981622,R,98,head
1732981623,EB,98,node24
1732981626,Q,115,head
1732981631,Q,116,head
1732981631,EE,7,node16
1732981631,EE,7,node17
1732981631,EE,7,node20
1732981631,EE,7,node22
1732981631,EE,7,node19
1732981631,EE,7,node21
1732981632,EE,7,node23
1732981633,O,7,head
1732981633,R,38,head
1732981633,R,74,head
1732981633,EB,38,node16
1732981633,EB,74,node20
1732981633,EB,38,node17
1732981633,EB,38,node18
1732981633,EB,38,node19
1732981633,EB,74,node21
1732981633,EB,74,node22
1732981633,EB,74,node23
1732981636,Q,117,head
1732981641,Q,118,head
1732981646,Q,119,head
1732981651,Q,120,head
1732981656,Q,121,head
1732981661,Q,122,head
1732981666,Q,123,head
1732981671,Q,124,head
1732981676,Q,125,head
1732981677,EE,10,node26
